case,Q_veh_h,T_work_h,mean_deltaH,median_deltaH,median_rel_deltaH,p_benefit,p_benefit_lo95,p_benefit_hi95
baseline_corr_plausible,100,0.25,-3.2200503508229615e-09,9.3403030867976005e-10,0.021906126079456675,0.14194999999999999,0.13718194578937212,0.14685557123040435
baseline_corr_plausible,100,0.5,-1.0095149337463865e-08,8.735424945072691e-10,0.010960114116003599,0.14704999999999999,0.1422095242921913,0.1520260339598129
baseline_corr_plausible,100,1,-2.5012632196095832e-08,8.7862707507683246e-10,0.0054893381885019596,0.15235000000000001,0.14743641064219745,0.15739711202761211
baseline_corr_plausible,100,2,-5.4410793640274448e-08,8.6166751593524036e-10,0.002729468757860073,0.152,0.1470911732597833,0.15704248383526551
baseline_corr_plausible,100,4,-1.064715244275669e-07,8.8087725339810874e-10,0.0013696930183249953,0.1484,0.14354069695661639,0.15339434279803635
baseline_corr_plausible,200,0.050000000000000003,4.0481241911201565e-09,1.8305832438799681e-09,0.10992124622128666,0.12755,0.1229982047250955,0.13224484293309677
baseline_corr_plausible,200,0.10000000000000001,1.4866503529998825e-09,1.8603337049971621e-09,0.054831423534577109,0.13750000000000001,0.13279686522363368,0.14234236091704214
baseline_corr_plausible,200,0.25,-6.6275965313257023e-09,1.7671651983321176e-09,0.021906711626094755,0.1449,0.14008980254340667,0.1498465814636388
baseline_corr_plausible,200,0.5,-2.0195572761327341e-08,1.8136243775232246e-09,0.010928533346489824,0.14835000000000001,0.14349139175055037,0.15334366720770798
baseline_corr_plausible,200,1,-4.9500857049228547e-08,1.7766319243376621e-09,0.005487710975974178,0.14865,0.14378722587570486,0.15364771786091985
baseline_corr_plausible,200,2,-1.0010516033811295e-07,1.822454156168901e-09,0.0027380307360515702,0.14435000000000001,0.13954760682575612,0.14928898842095106
baseline_corr_plausible,200,4,-2.2547737962776905e-07,1.7306861991228907e-09,0.001368225482090122,0.1512,0.1463020937062727,0.15623187064646585
baseline_corr_plausible,400,0.050000000000000003,8.3879962746951083e-09,3.745271739764015e-09,0.10996753544687399,0.12905,0.12447482018650805,0.13376765136351595
baseline_corr_plausible,400,0.10000000000000001,2.6536951526564514e-09,3.5730777566802369e-09,0.054727151733381989,0.13915,0.1344226016919659,0.14401599072972476
baseline_corr_plausible,400,0.25,-1.3653316288178864e-08,3.5537450389288878e-09,0.02189249869365209,0.14599999999999999,0.14117426591687574,0.1509616956108463
baseline_corr_plausible,400,0.5,-4.233359812086622e-08,3.6130902257901346e-09,0.010969709352770644,0.14415,0.13935045072350027,0.14908622133762933
baseline_corr_plausible,400,1,-9.9391434003198865e-08,3.4767968851107309e-09,0.0054861001736048968,0.14915,0.14428029812564713,0.15415445357492147
baseline_corr_plausible,400,2,-2.1386322245510368e-07,3.6088833617203265e-09,0.0027360359558427456,0.14954999999999999,0.14467476971692064,0.15455982835480306
baseline_corr_plausible,400,4,-4.0651209365934429e-07,3.7488787301666702e-09,0.0013732752859917862,0.14530000000000001,0.14048414179326138,0.15025208858493924
baseline_corr_plausible,600,0.050000000000000003,1.2882745314027018e-08,5.6212667673430221e-09,0.11000360077807048,0.12504999999999999,0.12053764692257456,0.12970636091589829
baseline_corr_plausible,600,0.10000000000000001,2.9609694785323567e-09,5.2980506320945864e-09,0.054825576965528415,0.13844999999999999,0.13373286734255274,0.14330599392961646
baseline_corr_plausible,600,0.25,-2.0361709709123632e-08,5.2981110257237598e-09,0.021973031068761896,0.14455000000000001,0.1397447661188935,0.14949175231339126
baseline_corr_plausible,600,0.5,-6.5755411660525217e-08,5.3864511041547058e-09,0.010963777291579987,0.14760000000000001,0.1427518368373184,0.15258351017502414
baseline_corr_plausible,600,1,-1.459592942953822e-07,5.2536822342141256e-09,0.0054796430525985117,0.14294999999999999,0.13816758142894497,0.14786955151871928
baseline_corr_plausible,600,2,-3.1764735669704764e-07,5.3071994269268828e-09,0.0027360257406720775,0.14940000000000001,0.14452684143657227,0.15440781424596825
baseline_corr_plausible,600,4,-6.7010909025408446e-07,5.1535475627537799e-09,0.001365072617596148,0.15570000000000001,0.15074128434945436,0.16079095167877924
baseline_corr_plausible,800,0.050000000000000003,1.6271394769582806e-08,7.3183821333093729e-09,0.10917438450555662,0.13014999999999999,0.12555780310467904,0.13488424596602147
